doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
return-refund-policy,data/ecommerce/return-refund-policy.md,Những quy định chung về trả hàng và hoàn tiền,https://help.shopee.vn/portal/4/article/188931-%5BTr%E1%BA%A3-h%C3%A0ng/Ho%C3%A0n-ti%E1%BB%81n%5D-Nh%E1%BB%AFng-quy-%C4%91%E1%BB%8Bnh-chung-v%E1%BB%81-Tr%E1%BA%A3-h%C3%A0ng/Ho%C3%A0n-ti%E1%BB%81n-c%E1%BB%A7a-Shopee,2026-09-19,not-stated,public-source
seller-warranty-policy,data/ecommerce/seller-warranty-policy.md,Trách nhiệm bảo hành của người bán,https://help.shopee.vn/portal/4/article/77245,2026-09-19,not-stated,public-source
buyer-return-window,data/ecommerce/buyer-return-window.md,Thời hạn yêu cầu trả hàng và hoàn tiền,https://help.shopee.vn/portal/4/article/79314,2026-09-19,not-stated,public-source
refund-request-process,data/ecommerce/refund-request-process.md,Quy trình gửi yêu cầu trả hàng và hoàn tiền,https://help.shopee.vn/portal/4/article/79233,2026-09-19,not-stated,public-source
seller-return-response,data/ecommerce/seller-return-response.md,Thời hạn phản hồi yêu cầu trả hàng của người bán,https://help.shopee.vn/portal/4/article/77251,2026-09-19,2026-03-04-published-2026-03-11-effective,public-source
return-shipping-costs,data/ecommerce/return-shipping-costs.md,Chi phí vận chuyển khi trả hàng,https://help.shopee.vn/portal/4/article/77251,2026-09-19,2026-03-04-published-2026-03-11-effective,public-source
warranty-conditions,data/ecommerce/warranty-conditions.md,Điều kiện bảo hành cơ bản,https://help.shopee.vn/portal/4/article/77245,2026-09-19,not-stated,public-source
